,Class,training,cidi_prob,cido_prob,codi_prob,codo_prob,wcd_prob,dfg_conf,dfg_prob,p1p1x,p2p2x,r3r3x,h_cgvc,ang_NHs,ang_CHs,dist_NH,dist_CH
0,cidi,1.0,0.992,0.007,0.0,0.0,0.001,di,1.0,1.0,1.0,1.0,1.0,-0.14919625784485513,-0.02547927352275626,-0.16914862122325852,-0.11989080448866403
1,cidi,1.0,0.997,0.003,0.0,0.0,0.0,di,1.0,0.998708424,0.999552009,0.998719774,0.981969547,-0.09329339400822281,-0.12006993264245167,-0.11434182160691884,-0.06312395218760354
2,cidi,1.0,1.0,0.0,0.0,0.0,0.0,di,1.0,0.9786178,0.994110491,0.994340392,0.988612717,-0.1459663588276488,-0.11469925581248559,-0.11141946572155721,-0.07360480784770616
3,cidi,1.0,0.998,0.0,0.0,0.0,0.002,di,1.0,0.971044523,0.987734043,0.993500123,0.950742414,-0.17482131479657753,-0.08299439689298728,-0.15274650361217293,-0.24348374829424818
4,cidi,1.0,0.973,0.008,0.005,0.0,0.014,di,0.999,0.908328634,0.93286729,0.993808081,0.995787805,-0.17118559569871408,0.020760556540195242,-0.11063477508443602,-0.04708854791749014
5,cidi,1.0,0.934,0.04,0.023,0.0,0.003,di,0.995,0.931382603,0.856539045,0.92536089,0.99708605,-0.1332257519320385,-0.003090392807855287,-0.04243828478108188,0.06024992731750217
6,cidi,1.0,0.994,0.005,0.0,0.0,0.001,di,1.0,0.996756576,0.996333795,0.996738326,0.98212418,-0.12031721879657561,-0.05953301068016962,-0.21588464010580158,-0.2057118713587925
7,cidi,1.0,0.991,0.0,0.001,0.0,0.008,di,1.0,0.974880478,0.997557012,0.999054422,0.994691137,-0.16655694858076953,0.025246422318889298,-0.17587278390894506,-0.3044616459571786
8,cidi,1.0,1.0,0.0,0.0,0.0,0.0,di,1.0,0.998442442,0.996156447,0.999717028,0.941439076,-0.0513259242963304,-0.1256976174217426,-0.12820319507163014,-0.2487824649206428
9,cidi,1.0,0.999,0.001,0.0,0.0,0.0,di,1.0,0.96792492,0.999360369,0.999416524,0.949986261,-0.03897143702982683,-0.14445829273579966,-0.11619360804817323,-0.189755946753033
10,cidi,1.0,0.992,0.008,0.0,0.0,0.0,di,1.0,0.979447809,0.988204039,0.997363196,0.928749272,-0.0632521783112515,-0.1894427743128522,-0.10339241785570155,-0.23866389112514744
11,cidi,1.0,0.98,0.014,0.002,0.0,0.004,di,1.0,0.998719439,0.997391439,0.996318907,0.915030337,-0.016144977626346705,-0.15358530153309222,-0.16496266687722905,-0.11250877443041214
12,cidi,1.0,0.997,0.003,0.0,0.0,0.0,di,1.0,0.998413453,0.991071375,0.998449289,0.951358698,-0.08104698258682584,-0.0905051508234066,-0.17208858839918448,-0.10369974345722201
13,cidi,1.0,0.997,0.002,0.001,0.0,0.0,di,1.0,0.947570953,0.997935295,0.987358661,0.961858129,-0.13268379711045003,-0.14684602559601231,-0.10131481145215661,-0.07162100903231641
14,cidi,1.0,0.97,0.012,0.003,0.0,0.015,di,0.998,0.953426451,0.999986878,0.999957812,0.93924058,-0.2576123525879109,-0.001108447504513624,-0.0613825011299208,-0.2246072218722914
15,cidi,1.0,0.999,0.0,0.0,0.0,0.001,di,1.0,0.8844462040000001,0.992587926,0.995739844,0.990714452,-0.16850089759545497,-0.08449002883453949,-0.13045375303625875,-0.22833984814227065
16,cidi,1.0,0.999,0.0,0.0,0.0,0.001,di,1.0,0.959384751,0.996445181,0.999326979,0.923752213,-0.12582472308129503,-0.11481816904323296,-0.22645225837775518,-0.23220171144255272
17,cidi,1.0,0.998,0.001,0.001,0.0,0.0,di,1.0,0.94265584,0.955132383,0.980688692,0.962297401,-0.06116408950980394,-0.1003725531893036,-0.18111913008839287,-0.1270646683378707
